period,cluster,MedianRentPrice
2011-01,Cluster 1,1308.81
2011-02,Cluster 1,1308.81
2011-03,Cluster 1,1308.81
2011-04,Cluster 1,1308.81
2011-05,Cluster 1,1308.81
2011-06,Cluster 1,1308.81
2011-07,Cluster 1,1308.81
2011-08,Cluster 1,1308.81
2011-09,Cluster 1,1308.81
2011-10,Cluster 1,1308.81
2011-11,Cluster 1,1308.81
2011-12,Cluster 1,1308.81
2012-01,Cluster 1,1371.16
2012-02,Cluster 1,1371.16
2012-03,Cluster 1,1371.16
2012-04,Cluster 1,1371.16
2012-05,Cluster 1,1371.16
2012-06,Cluster 1,1371.16
2012-07,Cluster 1,1371.16
2012-08,Cluster 1,1371.16
2012-09,Cluster 1,1371.16
2012-10,Cluster 1,1371.16
2012-11,Cluster 1,1371.16
2012-12,Cluster 1,1371.16
2013-01,Cluster 1,1402.74
2013-02,Cluster 1,1402.74
2013-03,Cluster 1,1402.74
2013-04,Cluster 1,1402.74
2013-05,Cluster 1,1402.74
2013-06,Cluster 1,1402.74
2013-07,Cluster 1,1402.74
2013-08,Cluster 1,1402.74
2013-09,Cluster 1,1402.74
2013-10,Cluster 1,1402.74
2013-11,Cluster 1,1402.74
2013-12,Cluster 1,1402.74
2014-01,Cluster 1,1478.71
2014-02,Cluster 1,1478.71
2014-03,Cluster 1,1478.71
2014-04,Cluster 1,1478.71
2014-05,Cluster 1,1478.71
2014-06,Cluster 1,1478.71
2014-07,Cluster 1,1478.71
2014-08,Cluster 1,1478.71
2014-09,Cluster 1,1478.71
2014-10,Cluster 1,1478.71
2014-11,Cluster 1,1478.71
2014-12,Cluster 1,1478.71
2015-01,Cluster 1,1550.14
2015-02,Cluster 1,1550.14
2015-03,Cluster 1,1550.14
2015-04,Cluster 1,1550.14
2015-05,Cluster 1,1550.14
2015-06,Cluster 1,1550.14
2015-07,Cluster 1,1550.14
2015-08,Cluster 1,1550.14
2015-09,Cluster 1,1550.14
2015-10,Cluster 1,1550.14
2015-11,Cluster 1,1550.14
2015-12,Cluster 1,1550.14
2011-01,Cluster 10,1378.24
2011-02,Cluster 10,1378.24
2011-03,Cluster 10,1378.24
2011-04,Cluster 10,1378.24
2011-05,Cluster 10,1378.24
2011-06,Cluster 10,1378.24
2011-07,Cluster 10,1378.24
2011-08,Cluster 10,1378.24
2011-09,Cluster 10,1378.24
2011-10,Cluster 10,1378.24
2011-11,Cluster 10,1378.24
2011-12,Cluster 10,1378.24
2012-01,Cluster 10,1404.74
2012-02,Cluster 10,1404.74
2012-03,Cluster 10,1404.74
2012-04,Cluster 10,1404.74
2012-05,Cluster 10,1404.74
2012-06,Cluster 10,1404.74
2012-07,Cluster 10,1404.74
2012-08,Cluster 10,1404.74
2012-09,Cluster 10,1404.74
2012-10,Cluster 10,1404.74
2012-11,Cluster 10,1404.74
2012-12,Cluster 10,1404.74
2013-01,Cluster 10,1419.94
2013-02,Cluster 10,1419.94
2013-03,Cluster 10,1419.94
2013-04,Cluster 10,1419.94
2013-05,Cluster 10,1419.94
2013-06,Cluster 10,1419.94
2013-07,Cluster 10,1419.94
2013-08,Cluster 10,1419.94
2013-09,Cluster 10,1419.94
2013-10,Cluster 10,1419.94
2013-11,Cluster 10,1419.94
2013-12,Cluster 10,1419.94
2014-01,Cluster 10,1437.91
2014-02,Cluster 10,1437.91
2014-03,Cluster 10,1437.91
2014-04,Cluster 10,1437.91
2014-05,Cluster 10,1437.91
2014-06,Cluster 10,1437.91
2014-07,Cluster 10,1437.91
2014-08,Cluster 10,1437.91
2014-09,Cluster 10,1437.91
2014-10,Cluster 10,1437.91
2014-11,Cluster 10,1437.91
2014-12,Cluster 10,1437.91
2015-01,Cluster 10,1490.05
2015-02,Cluster 10,1490.05
2015-03,Cluster 10,1490.05
2015-04,Cluster 10,1490.05
2015-05,Cluster 10,1490.05
2015-06,Cluster 10,1490.05
2015-07,Cluster 10,1490.05
2015-08,Cluster 10,1490.05
2015-09,Cluster 10,1490.05
2015-10,Cluster 10,1490.05
2015-11,Cluster 10,1490.05
