,n_cluster,year_month,num_crimes,violent_cm,theft_cm,m_score
0,Cluster 1,2011-01,55,4,51,3.7727272727272734
1,Cluster 1,2011-02,70,3,67,21.659090909090907
2,Cluster 1,2011-03,87,2,85,28.977272727272727
3,Cluster 1,2011-04,59,4,55,3.886363636363633
4,Cluster 1,2011-05,104,8,96,39.727272727272734
5,Cluster 1,2011-06,105,5,100,38.06818181818181
6,Cluster 1,2011-07,104,11,93,35.477272727272734
7,Cluster 1,2011-08,105,0,105,37.38636363636364
8,Cluster 1,2011-09,68,2,66,0.6363636363636402
9,Cluster 1,2011-10,87,2,85,13.068181818181813
10,Cluster 1,2011-11,96,4,92,27.63636363636364
11,Cluster 1,2011-12,81,3,78,11.431818181818187
12,Cluster 1,2012-01,69,3,66,1.5454545454545467
13,Cluster 1,2012-02,61,2,59,6.93181818181818
14,Cluster 1,2012-03,67,4,63,10.136363636363633
15,Cluster 1,2012-04,68,4,64,9.795454545454547
16,Cluster 1,2012-05,82,3,79,15.431818181818187
17,Cluster 1,2012-06,58,4,54,-9.795454545454547
18,Cluster 1,2012-07,87,2,85,13.818181818181813
19,Cluster 1,2012-08,81,3,78,3.3409090909090935
20,Cluster 1,2012-09,80,7,73,9.840909090909093
21,Cluster 1,2012-10,105,4,101,30.38636363636364
22,Cluster 1,2012-11,116,3,113,50.56818181818181
23,Cluster 1,2012-12,89,1,88,21.340909090909093
24,Cluster 1,2013-01,58,1,57,-5.727272727272727
25,Cluster 1,2013-02,55,1,54,4.204545454545453
26,Cluster 1,2013-03,79,3,76,20.522727272727273
27,Cluster 1,2013-04,82,5,77,20.545454545454547
28,Cluster 1,2013-05,79,4,75,6.63636363636364
29,Cluster 1,2013-06,94,3,91,21.727272727272734
30,Cluster 1,2013-07,79,2,77,6.681818181818187
31,Cluster 1,2013-08,82,6,76,7.61363636363636
32,Cluster 1,2013-09,98,4,94,21.88636363636364
33,Cluster 1,2013-10,75,0,75,0.5454545454545467
34,Cluster 1,2013-11,89,3,86,22.022727272727266
35,Cluster 1,2013-12,72,4,68,3.3863636363636402
36,Cluster 1,2014-01,77,3,74,11.977272727272734
37,Cluster 1,2014-02,60,1,59,10.045454545454547
38,Cluster 1,2014-03,74,4,70,18.227272727272727
39,Cluster 1,2014-04,76,2,74,13.840909090909093
40,Cluster 1,2014-05,60,2,58,-11.86363636363636
41,Cluster 1,2014-06,63,4,59,-13.068181818181813
42,Cluster 1,2014-07,83,3,80,-1.1590909090909065
43,Cluster 1,2014-08,134,3,131,47.0
44,Cluster 1,2014-09,113,4,109,28.88636363636364
45,Cluster 1,2014-10,89,5,84,1.9090909090909065
46,Cluster 1,2014-11,73,3,70,-2.431818181818187
47,Cluster 1,2014-12,64,2,62,-5.5
48,Cluster 1,2015-01,53,3,50,-12.272727272727266
49,Cluster 1,2015-02,36,1,35,-6.9090909090909065
50,Cluster 1,2015-03,51,1,50,-5.25
51,Cluster 1,2015-04,49,2,47,-17.545454545454547
52,Cluster 1,2015-05,82,2,80,6.0909090909090935
53,Cluster 1,2015-06,95,6,89,17.704545454545453
54,Cluster 1,2015-07,102,4,98,19.5
55,Cluster 1,2015-08,78,3,75,-0.568181818181813
56,Cluster 1,2015-09,99,3,96,25.181818181818187
57,Cluster 1,2015-10,64,1,63,-13.227272727272734
58,Cluster 1,2015-11,88,1,87,16.909090909090907
59,Cluster 1,2015-12,90,2,88,13.61363636363636
60,Cluster 10,2011-01,13,0,13,-38.22727272727273
61,Cluster 10,2011-02,16,0,16,-32.34090909090909
62,Cluster 10,2011-03,17,0,17,-41.02272727272727
63,Cluster 10,2011-04,13,1,12,-42.11363636363637
64,Cluster 10,2011-05,19,0,19,-45.272727272727266
65,Cluster 10,2011-06,31,0,31,-35.93181818181819
66,Cluster 10,2011-07,30,0,30,-38.522727272727266
67,Cluster 10,2011-08,36,1,35,-31.61363636363636
68,Cluster 10,2011-09,19,0,19,-48.36363636363636
69,Cluster 10,2011-10,32,2,30,-41.93181818181819
70,Cluster 10,2011-11,30,1,29,-38.36363636363636
71,Cluster 10,2011-12,25,0,25,-44.56818181818181
72,Cluster 10,2012-01,27,0,27,-40.45454545454545
73,Cluster 10,2012-02,17,1,16,-37.06818181818182
74,Cluster 10,2012-03,22,0,22,-34.86363636363637
75,Cluster 10,2012-04,13,0,13,-45.20454545454545
76,Cluster 10,2012-05,19,0,19,-47.56818181818181
77,Cluster 10,2012-06,28,0,28,-39.79545454545455
78,Cluster 10,2012-07,36,0,36,-37.18181818181819
79,Cluster 10,2012-08,25,0,25,-52.65909090909091
80,Cluster 10,2012-09,21,1,20,-49.15909090909091
81,Cluster 10,2012-10,26,0,26,-48.61363636363636
82,Cluster 10,2012-11,22,0,22,-43.43181818181819
83,Cluster 10,2012-12,16,0,16,-51.65909090909091
84,Cluster 10,2013-01,19,0,19,-44.72727272727273
85,Cluster 10,2013-02,11,0,11,-39.79545454545455
86,Cluster 10,2013-03,28,0,28,-30.477272727272727
87,Cluster 10,2013-04,27,0,27,-34.45454545454545
88,Cluster 10,2013-05,48,0,48,-24.36363636363636
89,Cluster 10,2013-06,20,0,20,-52.272727272727266
90,Cluster 10,2013-07,31,0,31,-41.31818181818181
91,Cluster 10,2013-08,32,0,32,-42.38636363636364
92,Cluster 10,2013-09,37,0,37,-39.11363636363636
93,Cluster 10,2013-10,30,0,30,-44.45454545454545
94,Cluster 10,2013-11,34,0,34,-32.977272727272734
95,Cluster 10,2013-12,43,0,43,-25.61363636363636
96,Cluster 10,2014-01,31,0,31,-34.022727272727266
97,Cluster 10,2014-02,6,0,6,-43.95454545454545
98,Cluster 10,2014-03,19,0,19,-36.77272727272727
99,Cluster 10,2014-04,26,0,26,-36.15909090909091
100,Cluster 10,2014-05,27,0,27,-44.86363636363636
101,Cluster 10,2014-06,28,1,27,-48.06818181818181
102,Cluster 10,2014-07,19,0,19,-65.1590909090909
103,Cluster 10,2014-08,38,2,36,-49.0
104,Cluster 10,2014-09,34,0,34,-50.11363636363636
105,Cluster 10,2014-10,44,1,43,-43.09090909090909
106,Cluster 10,2014-11,32,0,32,-43.43181818181819
107,Cluster 10,2014-12,17,0,17,-52.5
108,Cluster 10,2015-01,8,0,8,-57.272727272727266
109,Cluster 10,2015-02,12,0,12,-30.909090909090907
110,Cluster 10,2015-03,11,0,11,-45.25
111,Cluster 10,2015-04,35,0,35,-31.545454545454547
112,Cluster 10,2015-05,30,0,30,-45.90909090909091
113,Cluster 10,2015-06,16,0,16,-61.29545454545455
114,Cluster 10,2015-07,28,0,28,-54.5
115,Cluster 10,2015-08,10,0,10,-68.56818181818181
116,Cluster 10,2015-09,24,0,24,-49.81818181818181
117,Cluster 10,2015-10,22,0,22,-55.227272727272734
118,Cluster 10,2015-11,27,1,26,-44.09090909090909
119,Cluster 10,2015-12,28,0,28,-48.38636363636364
120,Cluster 11,2011-01,45,1,44,-6.227272727272727
121,Cluster 11,2011-02,30,2,28,-18.340909090909093
122,Cluster 11,2011-03,29,0,29,-29.022727272727273
123,Cluster 11,2011-04,38,1,37,-17.113636363636367
124,Cluster 11,2011-05,47,0,47,-17.272727272727266
125,Cluster 11,2011-06,46,0,46,-20.931818181818187
126,Cluster 11,2011-07,35,1,34,-33.522727272727266
127,Cluster 11,2011-08,58,1,57,-9.61363636363636
128,Cluster 11,2011-09,52,0,52,-15.36363636363636
129,Cluster 11,2011-10,56,2,54,-17.931818181818187
130,Cluster 11,2011-11,50,2,48,-18.36363636363636
131,Cluster 11,2011-12,48,0,48,-21.568181818181813
132,Cluster 11,2012-01,55,0,55,-12.454545454545453
133,Cluster 11,2012-02,62,2,60,7.93181818181818
134,Cluster 11,2012-03,28,0,28,-28.863636363636367
135,Cluster 11,2012-04,44,2,42,-14.204545454545453
136,Cluster 11,2012-05,39,0,39,-27.568181818181813
137,Cluster 11,2012-06,44,0,44,-23.795454545454547
138,Cluster 11,2012-07,39,0,39,-34.18181818181819
139,Cluster 11,2012-08,49,2,47,-28.659090909090907
140,Cluster 11,2012-09,33,0,33,-37.15909090909091
141,Cluster 11,2012-10,72,0,72,-2.6136363636363598
142,Cluster 11,2012-11,51,0,51,-14.431818181818187
143,Cluster 11,2012-12,48,0,48,-19.659090909090907
144,Cluster 11,2013-01,56,0,56,-7.727272727272727
145,Cluster 11,2013-02,51,2,49,0.20454545454545325
146,Cluster 11,2013-03,75,0,75,16.522727272727273
147,Cluster 11,2013-04,58,1,57,-3.4545454545454533
148,Cluster 11,2013-05,74,0,74,1.6363636363636402
149,Cluster 11,2013-06,55,1,54,-17.272727272727266
150,Cluster 11,2013-07,59,2,57,-13.318181818181813
151,Cluster 11,2013-08,48,0,48,-26.38636363636364
152,Cluster 11,2013-09,61,1,60,-15.11363636363636
153,Cluster 11,2013-10,67,0,67,-7.454545454545453
154,Cluster 11,2013-11,75,2,73,8.022727272727266
155,Cluster 11,2013-12,43,0,43,-25.61363636363636
156,Cluster 11,2014-01,56,1,55,-9.022727272727266
157,Cluster 11,2014-02,46,1,45,-3.9545454545454533
158,Cluster 11,2014-03,44,0,44,-11.772727272727273
159,Cluster 11,2014-04,70,0,70,7.8409090909090935
160,Cluster 11,2014-05,57,0,57,-14.86363636363636
161,Cluster 11,2014-06,55,0,55,-21.068181818181813
162,Cluster 11,2014-07,68,1,67,-16.159090909090907
163,Cluster 11,2014-08,60,2,58,-27.0
164,Cluster 11,2014-09,41,0,41,-43.11363636363636
165,Cluster 11,2014-10,58,1,57,-29.090909090909093
166,Cluster 11,2014-11,53,1,52,-22.431818181818187
167,Cluster 11,2014-12,50,0,50,-19.5
168,Cluster 11,2015-01,44,1,43,-21.272727272727266
169,Cluster 11,2015-02,49,1,48,6.0909090909090935
170,Cluster 11,2015-03,53,1,52,-3.25
171,Cluster 11,2015-04,36,0,36,-30.545454545454547
172,Cluster 11,2015-05,62,0,62,-13.909090909090907
173,Cluster 11,2015-06,65,1,64,-12.295454545454547
174,Cluster 11,2015-07,63,0,63,-19.5
175,Cluster 11,2015-08,36,0,36,-42.56818181818181
176,Cluster 11,2015-09,55,1,54,-18.818181818181813
177,Cluster 11,2015-10,80,0,80,2.7727272727272663
178,Cluster 11,2015-11,46,1,45,-25.090909090909093
179,Cluster 11,2015-12,62,1,61,-14.38636363636364
180,Cluster 12,2011-01,19,0,19,-32.22727272727273
181,Cluster 12,2011-02,22,0,22,-26.340909090909093
182,Cluster 12,2011-03,26,0,26,-32.02272727272727
183,Cluster 12,2011-04,25,0,25,-30.113636363636367
184,Cluster 12,2011-05,17,0,17,-47.272727272727266
185,Cluster 12,2011-06,17,0,17,-49.93181818181819
186,Cluster 12,2011-07,17,0,17,-51.522727272727266
187,Cluster 12,2011-08,24,0,24,-43.61363636363636
188,Cluster 12,2011-09,20,0,20,-47.36363636363636
189,Cluster 12,2011-10,19,0,19,-54.93181818181819
190,Cluster 12,2011-11,22,0,22,-46.36363636363636
191,Cluster 12,2011-12,15,1,14,-54.56818181818181
192,Cluster 12,2012-01,11,0,11,-56.45454545454545
193,Cluster 12,2012-02,12,0,12,-42.06818181818182
194,Cluster 12,2012-03,18,0,18,-38.86363636363637
195,Cluster 12,2012-04,18,1,17,-40.20454545454545
196,Cluster 12,2012-05,16,1,15,-50.56818181818181
197,Cluster 12,2012-06,14,0,14,-53.79545454545455
198,Cluster 12,2012-07,12,0,12,-61.18181818181819
199,Cluster 12,2012-08,9,0,9,-68.6590909090909
200,Cluster 12,2012-09,23,1,22,-47.15909090909091
201,Cluster 12,2012-10,12,0,12,-62.61363636363636
202,Cluster 12,2012-11,14,0,14,-51.43181818181819
203,Cluster 12,2012-12,13,0,13,-54.65909090909091
204,Cluster 12,2013-01,18,0,18,-45.72727272727273
205,Cluster 12,2013-02,20,0,20,-30.795454545454547
206,Cluster 12,2013-03,12,1,11,-46.47727272727273
207,Cluster 12,2013-04,10,1,9,-51.45454545454545
208,Cluster 12,2013-05,21,0,21,-51.36363636363636
209,Cluster 12,2013-06,19,1,18,-53.272727272727266
210,Cluster 12,2013-07,11,0,11,-61.31818181818181
211,Cluster 12,2013-08,15,2,13,-59.38636363636364
212,Cluster 12,2013-09,29,1,28,-47.11363636363636
213,Cluster 12,2013-10,27,0,27,-47.45454545454545
214,Cluster 12,2013-11,15,1,14,-51.977272727272734
215,Cluster 12,2013-12,13,0,13,-55.61363636363636
216,Cluster 12,2014-01,12,0,12,-53.022727272727266
217,Cluster 12,2014-02,7,0,7,-42.95454545454545
218,Cluster 12,2014-03,16,0,16,-39.77272727272727
219,Cluster 12,2014-04,16,1,15,-46.15909090909091
220,Cluster 12,2014-05,21,0,21,-50.86363636363636
221,Cluster 12,2014-06,17,1,16,-59.06818181818181
222,Cluster 12,2014-07,23,1,22,-61.15909090909091
223,Cluster 12,2014-08,22,1,21,-65.0
224,Cluster 12,2014-09,20,1,19,-64.11363636363636
225,Cluster 12,2014-10,31,0,31,-56.09090909090909
226,Cluster 12,2014-11,12,0,12,-63.43181818181819
227,Cluster 12,2014-12,18,1,17,-51.5
228,Cluster 12,2015-01,16,0,16,-49.272727272727266
229,Cluster 12,2015-02,12,0,12,-30.909090909090907
