,Date,Cluster,Population,Poverty Below 100
0,2011-01,Cluster 1,17222.0,969.0
1,2012-01,Cluster 1,17615.0,1118.0
2,2013-01,Cluster 1,18344.0,1354.0
3,2014-01,Cluster 1,18753.0,1361.0
4,2015-01,Cluster 1,19136.0,1448.0
5,2011-01,Cluster 2,45859.0,7489.0
6,2012-01,Cluster 2,47730.0,7533.0
7,2013-01,Cluster 2,49961.0,6872.0
8,2014-01,Cluster 2,51927.0,7104.0
9,2015-01,Cluster 2,52532.0,7358.0
10,2011-01,Cluster 3,13325.0,1889.0
11,2012-01,Cluster 3,13062.0,1673.0
12,2013-01,Cluster 3,13674.0,1884.0
13,2014-01,Cluster 3,13612.0,1513.0
14,2015-01,Cluster 3,14007.0,1718.0
15,2011-01,Cluster 4,13655.0,960.0
16,2012-01,Cluster 4,13892.0,1173.0
17,2013-01,Cluster 4,13596.0,1031.0
18,2014-01,Cluster 4,13439.0,903.0
19,2015-01,Cluster 4,13580.0,1130.0
20,2011-01,Cluster 5,18283.0,3112.0
21,2012-01,Cluster 5,19101.0,2914.0
22,2013-01,Cluster 5,18957.0,2735.0
23,2014-01,Cluster 5,19172.0,2358.0
24,2015-01,Cluster 5,19784.0,2838.0
25,2011-01,Cluster 6,12969.0,1549.0
26,2012-01,Cluster 6,13349.0,1482.0
27,2013-01,Cluster 6,13426.0,1145.0
28,2014-01,Cluster 6,13398.0,1211.0
29,2015-01,Cluster 6,12955.0,1099.0
30,2011-01,Cluster 7,23196.0,2822.0
31,2012-01,Cluster 7,23388.0,2946.0
32,2013-01,Cluster 7,23699.0,3137.0
33,2014-01,Cluster 7,24225.0,3605.0
34,2015-01,Cluster 7,25108.0,3424.0
35,2011-01,Cluster 8,13274.0,3296.0
36,2012-01,Cluster 8,13525.0,2621.0
37,2013-01,Cluster 8,13886.0,2575.0
38,2014-01,Cluster 8,14302.0,2602.0
39,2015-01,Cluster 8,15120.0,2557.0
40,2011-01,Cluster 9,12025.0,2146.0
41,2012-01,Cluster 9,11786.0,1499.0
42,2013-01,Cluster 9,11699.0,1661.0
