GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Veteran,Margin of Error; Total: - Veteran,Estimate; Total: - Nonveteran,Margin of Error; Total: - Nonveteran,Estimate; Total: - Male:,Margin of Error; Total: - Male:,Estimate; Total: - Male: - Veteran,Margin of Error; Total: - Male: - Veteran,Estimate; Total: - Male: - Nonveteran,Margin of Error; Total: - Male: - Nonveteran,Estimate; Total: - Male: - 18 to 34 years:,Margin of Error; Total: - Male: - 18 to 34 years:,Estimate; Total: - Male: - 18 to 34 years: - Veteran,Margin of Error; Total: - Male: - 18 to 34 years: - Veteran,Estimate; Total: - Male: - 18 to 34 years: - Nonveteran,Margin of Error; Total: - Male: - 18 to 34 years: - Nonveteran,Estimate; Total: - Male: - 35 to 54 years:,Margin of Error; Total: - Male: - 35 to 54 years:,Estimate; Total: - Male: - 35 to 54 years: - Veteran,Margin of Error; Total: - Male: - 35 to 54 years: - Veteran,Estimate; Total: - Male: - 35 to 54 years: - Nonveteran,Margin of Error; Total: - Male: - 35 to 54 years: - Nonveteran,Estimate; Total: - Male: - 55 to 64 years:,Margin of Error; Total: - Male: - 55 to 64 years:,Estimate; Total: - Male: - 55 to 64 years: - Veteran,Margin of Error; Total: - Male: - 55 to 64 years: - Veteran,Estimate; Total: - Male: - 55 to 64 years: - Nonveteran,Margin of Error; Total: - Male: - 55 to 64 years: - Nonveteran,Estimate; Total: - Male: - 65 to 74 years:,Margin of Error; Total: - Male: - 65 to 74 years:,Estimate; Total: - Male: - 65 to 74 years: - Veteran,Margin of Error; Total: - Male: - 65 to 74 years: - Veteran,Estimate; Total: - Male: - 65 to 74 years: - Nonveteran,Margin of Error; Total: - Male: - 65 to 74 years: - Nonveteran,Estimate; Total: - Male: - 75 years and over:,Margin of Error; Total: - Male: - 75 years and over:,Estimate; Total: - Male: - 75 years and over: - Veteran,Margin of Error; Total: - Male: - 75 years and over: - Veteran,Estimate; Total: - Male: - 75 years and over: - Nonveteran,Margin of Error; Total: - Male: - 75 years and over: - Nonveteran,Estimate; Total: - Female:,Margin of Error; Total: - Female:,Estimate; Total: - Female: - Veteran,Margin of Error; Total: - Female: - Veteran,Estimate; Total: - Female: - Nonveteran,Margin of Error; Total: - Female: - Nonveteran,Estimate; Total: - Female: - 18 to 34 years:,Margin of Error; Total: - Female: - 18 to 34 years:,Estimate; Total: - Female: - 18 to 34 years: - Veteran,Margin of Error; Total: - Female: - 18 to 34 years: - Veteran,Estimate; Total: - Female: - 18 to 34 years: - Nonveteran,Margin of Error; Total: - Female: - 18 to 34 years: - Nonveteran,Estimate; Total: - Female: - 35 to 54 years:,Margin of Error; Total: - Female: - 35 to 54 years:,Estimate; Total: - Female: - 35 to 54 years: - Veteran,Margin of Error; Total: - Female: - 35 to 54 years: - Veteran,Estimate; Total: - Female: - 35 to 54 years: - Nonveteran,Margin of Error; Total: - Female: - 35 to 54 years: - Nonveteran,Estimate; Total: - Female: - 55 to 64 years:,Margin of Error; Total: - Female: - 55 to 64 years:,Estimate; Total: - Female: - 55 to 64 years: - Veteran,Margin of Error; Total: - Female: - 55 to 64 years: - Veteran,Estimate; Total: - Female: - 55 to 64 years: - Nonveteran,Margin of Error; Total: - Female: - 55 to 64 years: - Nonveteran,Estimate; Total: - Female: - 65 to 74 years:,Margin of Error; Total: - Female: - 65 to 74 years:,Estimate; Total: - Female: - 65 to 74 years: - Veteran,Margin of Error; Total: - Female: - 65 to 74 years: - Veteran,Estimate; Total: - Female: - 65 to 74 years: - Nonveteran,Margin of Error; Total: - Female: - 65 to 74 years: - Nonveteran,Estimate; Total: - Female: - 75 years and over:,Margin of Error; Total: - Female: - 75 years and over:,Estimate; Total: - Female: - 75 years and over: - Veteran,Margin of Error; Total: - Female: - 75 years and over: - Veteran,Estimate; Total: - Female: - 75 years and over: - Nonveteran,Margin of Error; Total: - Female: - 75 years and over: - Nonveteran
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",4218,391,235,84,3983,384,1900,282,235,84,1665,281,602,238,0,12,602,238,631,168,40,38,591,170,314,105,33,39,281,99,183,69,52,39,131,53,170,68,110,59,60,47,2318,278,0,12,2318,278,921,196,0,12,921,196,667,152,0,12,667,152,327,110,0,12,327,110,251,97,0,12,251,97,152,71,0,12,152,71
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",3882,502,0,12,3882,502,1767,302,0,12,1767,302,1738,306,0,12,1738,306,0,12,0,12,0,12,29,33,0,12,29,33,0,12,0,12,0,12,0,12,0,12,0,12,2115,313,0,12,2115,313,2101,304,0,12,2101,304,14,33,0,12,14,33,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",4422,623,188,69,4234,622,1981,271,186,69,1795,270,947,245,8,17,939,245,492,150,24,24,468,145,222,78,40,35,182,76,212,91,41,32,171,85,108,58,73,50,35,45,2441,459,2,8,2439,458,1432,440,0,12,1432,440,435,123,2,8,433,121,289,74,0,12,289,74,204,63,0,12,204,63,81,49,0,12,81,49
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",4963,644,77,58,4886,643,2235,565,53,43,2182,564,1122,559,14,22,1108,559,653,148,0,17,653,148,253,94,0,17,253,94,153,93,26,29,127,90,54,42,13,21,41,38,2728,297,24,41,2704,290,1281,279,0,17,1281,279,735,159,0,17,735,159,394,132,0,17,394,132,121,52,0,17,121,52,197,75,24,41,173,73
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",1267,174,67,35,1200,169,643,104,67,35,576,106,164,77,0,12,164,77,214,48,1,2,213,47,70,30,7,15,63,28,115,51,18,21,97,46,80,35,41,27,39,25,624,106,0,12,624,106,92,43,0,12,92,43,203,43,0,12,203,43,193,64,0,12,193,64,80,37,0,12,80,37,56,31,0,12,56,31
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",3079,424,112,71,2967,414,1387,202,92,69,1295,204,752,179,0,12,752,179,403,146,3,7,400,144,127,85,0,12,127,85,32,36,16,26,16,25,73,63,73,63,0,12,1692,415,20,31,1672,421,972,407,0,12,972,407,486,113,20,31,466,116,129,64,0,12,129,64,79,62,0,12,79,62,26,43,0,12,26,43
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",2647,209,174,62,2473,213,1157,148,167,62,990,147,309,104,7,11,302,105,420,100,22,25,398,95,213,60,26,24,187,57,123,42,48,27,75,35,92,43,64,38,28,34,1490,195,7,10,1483,193,586,168,0,12,586,168,484,122,7,10,477,123,205,61,0,12,205,61,117,42,0,12,117,42,98,50,0,12,98,50
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",3900,284,193,101,3707,286,1591,183,174,100,1417,189,269,97,0,12,269,97,691,135,39,40,652,136,247,93,18,29,229,89,236,97,55,52,181,85,148,75,62,53,86,54,2309,235,19,28,2290,239,825,205,0,12,825,205,506,101,19,28,487,100,480,134,0,12,480,134,295,91,0,12,295,91,203,94,0,12,203,94
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",4516,316,229,107,4287,305,1625,252,216,104,1409,232,618,169,0,12,618,169,528,202,49,63,479,178,99,56,0,12,99,56,252,102,64,46,188,94,128,71,103,65,25,29,2891,231,13,22,2878,232,888,169,0,12,888,169,811,175,0,12,811,175,449,149,0,12,449,149,309,105,0,12,309,105,434,153,13,22,421,155
